"Source Name","E-Mail From",Subject,"Date Received","Message (Plaintext)","Message ID","Has Attachments",Path,"Thread ID","Data Source","E-Mail To"
outlook.pst,"Microsoft Outlook 2000","Welcome to Microsoft Outlook 2000!","2008-07-10 14:47:23 WIB","Welcome to Microsoft Outlook 2000 One Window to Your World of Information   Microsoft(R) Outlook(R) 2000 is the premier messaging and collaboration client that ...",2097188,Yes,"\\Top of Personal Folders\Inbox","3117c8be-ea3f-4d5e-af60-ac7773d6226a",nps-2008-jean.E01,
outlook.pst,"Google Alerts <googlealerts-noreply@google.com>","Google Alert - skin in the office","2008-07-18 10:19:43 WIB",,2103492,,"\\Top of Personal Folders\Deleted Items","05f6cdbe-b734-41a3-a591-b3d3d4d45564",nps-2008-jean.E01,jean@m57.biz
outlook.pst,"Google Alerts <googlealerts-noreply@google.com>","Google Alert - m57.biz","2008-07-17 01:55:25 WIB",,2103012,,"\\Top of Personal Folders\Deleted Items","67b0673c-ae33-4034-90ac-4a047091ce60",nps-2008-jean.E01,jean@m57.biz
outlook.pst,"alex <alex@m57.biz>","FW: UFOs Over U.S. Military Sites?","2008-07-20 06:32:54 WIB","CNN.com - Larry King
-----Original Message-----
From: Larry King Live [mailto:larryking@mail.cnn.com]
Sent: Friday, July 18, 2008 7:04 PM
To: alison@M57.BIZ...",2104612,,"\\Top of Personal Folders\Deleted Items","2abba70b-f2a9-4d33-a2d8-62533ad3669e",nps-2008-jean.E01,jean@m57.biz
outlook.pst,"alex <alex@m57.biz>","FW: Making People Sick AND Poor","2008-07-20 06:32:54 WIB","CNN.com - Lou Dobbs Tonight
-----Original Message-----
From: Lou Dobbs Tonight [mailto:loudobbs@mail.cnn.com]
Sent: Friday, July 18, 2008 7:20 PM
To: alison...",2104644,,"\\Top of Personal Folders\Deleted Items","9b47dce2-5297-4827-a0da-777aa5112513",nps-2008-jean.E01,jean@m57.biz
outlook.pst,"alex <alex@m57.biz>","FW: Subject line: Missing girl's mom borrowed a shovel?","2008-07-20 06:32:54 WIB","CNN.com - Prime News
-----Original Message-----
From: Prime News on Headline News [mailto:cnn@mail.cnn.com]
Sent: Friday, July 18, 2008 8:53 PM
To: alison@M...",2104676,,"\\Top of Personal Folders\Deleted Items","7184a1a2-918d-4c63-a822-244a04fa3370",nps-2008-jean.E01,jean@m57.biz
outlook.pst,"alex <alex@m57.biz>","FW: The CNN Political Ticker AM for Friday, July 18, 2008","2008-07-20 06:32:53 WIB","CNN.com - CNN Political Ticker
-----Original Message-----
From: CNN Political Ticker [mailto:politicalticker@cnn.com]
Sent: Friday, July 18, 2008 12:08 PM
T...",2104580,,"\\Top of Personal Folders\Deleted Items","c1314a6c-ff2d-47a8-9cab-fa902333e1b7",nps-2008-jean.E01,jean@m57.biz
outlook.pst,"alex <alex@m57.biz>","FW: Fans ready to stay up all 'Knight' for Batman movie","2008-07-20 06:32:52 WIB","-----Original Message-----
From: CNN AM QuickNews [mailto:mailings@mail.cnn.com]
Sent: Friday, July 18, 2008 10:31 AM
To: alison@M57.BIZ
Subject: Fans ready...",2104516,,"\\Top of Personal Folders\Deleted Items","58d66c74-ee72-4d5d-b5e6-53b124696009",nps-2008-jean.E01,jean@m57.biz
outlook.pst,"alex <alex@m57.biz>","FW: All In All, I Feel Like Another Brick In the Wall","2008-07-20 06:32:52 WIB","The Morning Express with Robin Meade
-----Original Message-----
From: Robin Meade of Headline News [mailto:cnn@mail.cnn.com]
Sent: Friday, July 18, 2008 10:4...",2104548,,"\\Top of Personal Folders\Deleted Items","317ab009-c426-4138-9990-9243a8e58db4",nps-2008-jean.E01,jean@m57.biz
outlook.pst,"alex <alison@m57.biz>","RE: which email address are you using?","2008-07-20 06:50:19 WIB","Yes, I got this email.


-----Original Message-----
From: Jean User [mailto:jean@m57.biz]
Sent: Sunday, July 20, 2008 12:46 AM
To: alex
Subject: RE: whic...",2105508,,"\\Top of Personal Folders\Deleted Items","79fdfda7-da05-41ee-917d-49fbfc93ef4f",nps-2008-jean.E01,
outlook.pst,"Microsoft Outlook 2000","Welcome to Microsoft Outlook 2000!","2008-07-06 14:38:43 WIB","Welcome to Microsoft Outlook 2000 One Window to Your World of Information   Microsoft(R) Outlook(R) 2000 is the premier messaging and collaboration client that ...",2097188,Yes,"\\Top of Personal Folders\Inbox","fb76bc0f-5ff4-4a38-8338-8c59599752c4",nps-2008-jean.E01,
outlook.pst,"Jean User <jean@m57.biz>","test test test","2008-07-06 14:48:26 WIB","Do I have email now?",2097380,,"\\Top of Personal Folders\Inbox","896dabf1-ad5a-4a80-8fbc-6ca7d675a476",nps-2008-jean.E01,jean@m57.biz
outlook.pst,"Jean User <jean@m57.biz>","let's try again","2008-07-06 14:48:26 WIB","Do I suck?",2097412,,"\\Top of Personal Folders\Inbox","3a40af60-55eb-496e-b054-6e4061a242dd",nps-2008-jean.E01,jean@m57.biz
outlook.pst,"jean@m57.biz <jean@m57.biz>","this is what I was talking about","2008-07-06 14:55:47 WIB","*Please note, the sender's email address has not been verified.



this is what I was talking about today!!!



 
********************
 
If you are h...",2097508,,"\\Top of Personal Folders\Inbox","359e8ff9-81dc-4741-a919-8c36ab29ac0c",nps-2008-jean.E01,"alison@m57.biz; jean@m57.biz"
outlook.pst,"Google Alerts <googlealerts-noreply@google.com>","Click to confirm your Google Alert","2008-07-06 14:56:41 WIB","Google received a request to start sending Alerts for the search
[ skin in the ... ] to jean@m57.biz.

Verify this Google Alert request:
http://www.google.c...",2097540,,"\\Top of Personal Folders\Inbox","1a761d6a-4efb-4122-a143-963fefa582c4",nps-2008-jean.E01,jean@m57.biz
outlook.pst,"Google Alerts <googlealerts-noreply@google.com>","Click to confirm your Google Alert","2008-07-06 14:56:53 WIB","Google received a request to start sending Alerts for the search
[ m57. biz ] to jean@m57.biz.

Verify this Google Alert request:
http://www.google.com/aler...",2097572,,"\\Top of Personal Folders\Inbox","1ad0f7a9-9302-4dd1-bd02-b039008ccbfb",nps-2008-jean.E01,jean@m57.biz
outlook.pst,"accounts-noreply@google.com <accounts-noreply@google.com>","Google Email Verification","2008-07-06 14:58:25 WIB","Welcome to Google Accounts.  To activate your account and verify your e-mail
address, please click on the following link:

http://www.google.com/accounts/VE?...",2097604,,"\\Top of Personal Folders\Inbox","d625db5a-ec5f-4dd9-898c-f4fcfee5d369",nps-2008-jean.E01,jean@m57.biz
outlook.pst,"NPR Accounts <npr-accounts@npr.org>","Activate Your Account","2008-07-06 14:59:49 WIB","Thank you for registering for an account with NPR.org.

Click to activate your account:
http://www.npr.org/templates/reg/activate-account-email-submit.php?pu...",2097636,,"\\Top of Personal Folders\Inbox","2f27af31-09de-4105-82d5-306906aa7c85",nps-2008-jean.E01,jean@m57.biz
outlook.pst,"Google Alerts <googlealerts-noreply@google.com>","Google Alert - skin in the office","2008-07-06 15:00:35 WIB",,2097700,,"\\Top of Personal Folders\Inbox","05f6cdbe-b734-41a3-a591-b3d3d4d45564",nps-2008-jean.E01,jean@m57.biz
outlook.pst,"Google Alerts <googlealerts-noreply@google.com>","Google Alert - skin in the office","2008-07-06 16:38:21 WIB",,2097732,,"\\Top of Personal Folders\Inbox","05f6cdbe-b734-41a3-a591-b3d3d4d45564",nps-2008-jean.E01,jean@m57.biz
outlook.pst,"Google Alerts <googlealerts-noreply@google.com>","Google Alert - skin in the office","2008-07-06 16:40:46 WIB",,2097764,,"\\Top of Personal Folders\Inbox","05f6cdbe-b734-41a3-a591-b3d3d4d45564",nps-2008-jean.E01,jean@m57.biz
outlook.pst,"Google Alerts <googlealerts-noreply@google.com>","Google Alert - skin in the office","2008-07-06 17:00:12 WIB",,2097796,,"\\Top of Personal Folders\Inbox","05f6cdbe-b734-41a3-a591-b3d3d4d45564",nps-2008-jean.E01,jean@m57.biz
outlook.pst,"Google Alerts <googlealerts-noreply@google.com>","Google Alert - skin in the office","2008-07-06 19:26:21 WIB",,2097828,,"\\Top of Personal Folders\Inbox","05f6cdbe-b734-41a3-a591-b3d3d4d45564",nps-2008-jean.E01,jean@m57.biz
outlook.pst,"Google Alerts <googlealerts-noreply@google.com>","Google Alert - skin in the office","2008-07-06 22:58:25 WIB",,2097860,,"\\Top of Personal Folders\Inbox","05f6cdbe-b734-41a3-a591-b3d3d4d45564",nps-2008-jean.E01,jean@m57.biz
outlook.pst,"Google Alerts <googlealerts-noreply@google.com>","Google Alert - skin in the office","2008-07-07 01:23:46 WIB",,2097892,,"\\Top of Personal Folders\Inbox","05f6cdbe-b734-41a3-a591-b3d3d4d45564",nps-2008-jean.E01,jean@m57.biz
outlook.pst,"AlisonM57 <alison@m57.biz>","business plan","2008-07-07 02:25:09 WIB","Say, Jean, how is the business plan coming along?

I know that today is a Sunday, but you need to have it done by Monday.
Please get on the ball.

Thanks.",2097924,,"\\Top of Personal Folders\Inbox","b94f8278-85b9-4d89-98e5-9f1f79c9c0d9",nps-2008-jean.E01,jean@m57.biz
outlook.pst,"AlisonM57 <alison@m57.biz>","RE: this is what I was talking about","2008-07-07 02:25:11 WIB","EMAIL THIS EmailJean,

Please do not send me links like this. I have no way of knowing if they are
from you or from some hacker.

Thanks.

Alison.

  -...",2097956,,"\\Top of Personal Folders\Inbox","359e8ff9-81dc-4741-a919-8c36ab29ac0c",nps-2008-jean.E01,jean@m57.biz
outlook.pst,"AlisonM57 <alison@m57.biz>","By the way...","2008-07-07 02:25:14 WIB","EMAIL THIS
Emailhttp://www.cnn.com/2008/LIVING/worklife/06/19/too.tattooed.to.work/
[AlisonM57]
Check this one out:



Looks like the woman we turned dow...",2097988,,"\\Top of Personal Folders\Inbox","359e8ff9-81dc-4741-a919-8c36ab29ac0c",nps-2008-jean.E01,jean@m57.biz
